,exhibitorid,Name,MainCategories,Cluster,Cluster_Theme
68,55311,Sunny Adventures Journeys,adventure tourism,7,Diverse Tourism Options
71,55311,Sunny Adventures Journeys,gastro tourism,8,Tourism Specialties
72,31331,Exotic Adventures Journeys,authorized travel agency,15,Travel Services
73,31331,Exotic Adventures Journeys,receptive/ground operator,3,Tour Operator Diversity
74,31331,Exotic Adventures Journeys,"banking, investments",4,Financial Services
75,97818,Sunny Trips Adventures,authorized travel agency,15,Travel Services
76,97818,Sunny Trips Adventures,tic: travel information centre,0,Tourism Offices
77,13033,Prime Vacations Expeditions,equipment for restaurants and catering,10,Hospitality Services
78,13033,Prime Vacations Expeditions,insurance companies and banking,4,Financial Services
79,13033,Prime Vacations Expeditions,radio and tv,1,Media Innovations
80,13033,Prime Vacations Expeditions,hostel/motel,11,Accommodation Types
81,15881,Royal Trips Tours,airlines,-1,Event Management
82,15881,Royal Trips Tours,online booking system and trip planner software,16,Travel Booking Solutions
84,15881,Royal Trips Tours,management company,4,Financial Services
86,15881,Royal Trips Tours,tourist board/government/nto,0,Tourism Offices
89,15881,Royal Trips Tours,religious tourism,7,Diverse Tourism Options
91,10846,Royal Adventures Adventures,payment service provider,2,Transport and Payments
92,10846,Royal Adventures Adventures,national park,14,Wildlife Attractions
93,10846,Royal Adventures Adventures,gastro tourism,8,Tourism Specialties
95,10846,Royal Adventures Adventures,helicopter services,9,Helicopter Services
96,98889,Exotic Tours Tours,short-term complex rest and medical services,5,Healthcare Services
97,98889,Exotic Tours Tours,mass market tour operators,3,Tour Operator Diversity
98,98889,Exotic Tours Tours,study abroad and volunteering,7,Diverse Tourism Options
99,98889,Exotic Tours Tours,security system manufacturer/distributor,6,Industry Manufacturers
100,98889,Exotic Tours Tours,"real estate, property and homes in russia",11,Accommodation Types
101,18004,Exotic Getaways Journeys,"banking, investments",4,Financial Services
102,44942,Royal Holidays Adventures,zoo,14,Wildlife Attractions
103,44942,Royal Holidays Adventures,online travel agency,16,Travel Booking Solutions
104,44942,Royal Holidays Adventures,nto: national tourism office,0,Tourism Offices
105,44942,Royal Holidays Adventures,short-term complex rest and medical services,5,Healthcare Services
106,48028,Prime Adventures Journeys,health and medical tourism,7,Diverse Tourism Options
107,48028,Prime Adventures Journeys,mice and event management,-1,Event Management
108,48028,Prime Adventures Journeys,niche tourism,8,Tourism Specialties
114,48028,Prime Adventures Journeys,gastro tourism,8,Tourism Specialties
115,48028,Prime Adventures Journeys,other type of specialized tourism,8,Tourism Specialties
117,72153,Elite Adventures Holidays,independent travel agency,15,Travel Services
119,72153,Elite Adventures Holidays,national park,14,Wildlife Attractions
123,72153,Elite Adventures Holidays,youth travel,7,Diverse Tourism Options
127,72153,Elite Adventures Holidays,other type of accommodation facility,11,Accommodation Types
128,72153,Elite Adventures Holidays,online travel agency,16,Travel Booking Solutions
129,32278,Exotic Holidays Holidays,authorized travel agency,15,Travel Services
130,32278,Exotic Holidays Holidays,services and facilities,9,Helicopter Services
131,32278,Exotic Holidays Holidays,insurance company,4,Financial Services
132,51839,Dream Getaways Expeditions,hotel equipment and service suppliers,10,Hospitality Services
133,51839,Dream Getaways Expeditions,other type of motorhomes and glamping,12,Recreational Vehicles
135,51839,Dream Getaways Expeditions,mice agency,-1,Event Management
136,51839,Dream Getaways Expeditions,real estate agencies,15,Travel Services
137,51839,Dream Getaways Expeditions,museum,13,Cultural Institutions
138,30134,Global Holidays Expeditions,data analytics and personalization,0,Tourism Offices
139,30134,Global Holidays Expeditions,specialized tour operator,3,Tour Operator Diversity
140,54579,Prime Vacations Voyages,nto: national tourism office,0,Tourism Offices
141,54579,Prime Vacations Voyages,insurance company,4,Financial Services
142,54579,Prime Vacations Voyages,cultural heritage site,13,Cultural Institutions
143,54579,Prime Vacations Voyages,other type of motorhomes,12,Recreational Vehicles
144,54579,Prime Vacations Voyages,cruise tour operators,3,Tour Operator Diversity
148,21865,Dream Holidays Holidays,inbound tour operator,3,Tour Operator Diversity
151,21865,Dream Holidays Holidays,mobile homes and glampings,12,Recreational Vehicles
153,21865,Dream Holidays Holidays,adventure tourism,7,Diverse Tourism Options
155,21865,Dream Holidays Holidays,mice agency,-1,Event Management
156,97920,Dream Tours Tours,bus services,2,Transport and Payments
159,97920,Dream Tours Tours,industrial tourism,8,Tourism Specialties
161,97920,Dream Tours Tours,museums and parks,13,Cultural Institutions
162,97920,Dream Tours Tours,gastro tourism,8,Tourism Specialties
163,97920,Dream Tours Tours,nto: national tourism office,0,Tourism Offices
165,18960,Elite Travel Services,cultural heritage site,13,Cultural Institutions
166,18960,Elite Travel Services,print media,1,Media Innovations
167,18960,Elite Travel Services,real estate agencies,15,Travel Services
168,18960,Elite Travel Services,medical products and machinery manufacturer/distributor,6,Industry Manufacturers
169,15642,Dream Travel Services,event organizer,-1,Event Management
170,15642,Dream Travel Services,apartments/residential hotel,11,Accommodation Types
171,15642,Dream Travel Services,mobile homes and glampings,12,Recreational Vehicles
172,15642,Dream Travel Services,search engine for travel/aggregator,16,Travel Booking Solutions
173,15642,Dream Travel Services,hotel/hotel chain/inn,10,Hospitality Services
174,17729,Sunny Travel Journeys,accomodation providers,11,Accommodation Types
176,17729,Sunny Travel Journeys,car rental/carsharing,12,Recreational Vehicles
177,17729,Sunny Travel Journeys,specialized tour operator,3,Tour Operator Diversity
178,17729,Sunny Travel Journeys,receptive/ground operator,3,Tour Operator Diversity
179,17729,Sunny Travel Journeys,hotel/hotel chain/inn,10,Hospitality Services
